"area_id","manzana_label","mza","variable","categoria","casos","pct"
"07010100010010003100","070101000100100031 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 031","031","sexo","Hombre",68,0.53125
"07010100010010003100","070101000100100031 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 031","031","sexo","Mujer",60,0.46875
"07010100010010003200","070101000100100032 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 032","032","sexo","Hombre",60,0.55045871559633
"07010100010010003200","070101000100100032 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 032","032","sexo","Mujer",49,0.44954128440367
"07010100010010003300","070101000100100033 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 033","033","sexo","Hombre",66,0.461538461538462
"07010100010010003300","070101000100100033 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 033","033","sexo","Mujer",77,0.538461538461538
"07010100010010003400","070101000100100034 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 034","034","sexo","Hombre",59,0.487603305785124
"07010100010010003400","070101000100100034 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 034","034","sexo","Mujer",62,0.512396694214876
"07010100010010003500","070101000100100035 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 035","035","sexo","Hombre",69,0.5390625
"07010100010010003500","070101000100100035 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 035","035","sexo","Mujer",59,0.4609375
"07010100010010003600","070101000100100036 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 036","036","sexo","Hombre",67,0.531746031746032
"07010100010010003600","070101000100100036 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 036","036","sexo","Mujer",59,0.468253968253968
"07010100010010003800","070101000100100038 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 038","038","sexo","Hombre",67,0.563025210084034
"07010100010010003800","070101000100100038 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 038","038","sexo","Mujer",52,0.436974789915966
"07010100010010003900","070101000100100039 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 039","039","sexo","Hombre",91,0.541666666666667
