"distrito","viviendas_alquiladas","viviendas_con_tenencia","pct_alquiler"
"Callao",28300,107471,26.3
"Bellavista",5516,19073,28.9
"Carmen de la Legua Reynoso",2833,10520,26.9
"La Perla",5348,16547,32.3
"La Punta",377,1171,32.2
"Ventanilla",8059,79693,10.1
"Mi Perú",1126,10345,10.9
"Provincia Callao (total)",51559,244820,21.1
