LLAVE_MZS,Mz,CODCCPP,ZONA,AREA,manzana_label,mza,sexo_hombre,sexo_mujer,tipoviv_casa_independiente,tipoviv_departamento_en_edificio,tipoviv_vivienda_en_casa_de_vecindad_callej_n_solar_o_corral_n_,tipoviv_vivienda_improvisada,tipoviv_viviendas_colectivas,tipoviv_vivienda_en_quinta,tipoviv_local_no_destinado_para_habitaci_n_humana,tipoviv_otro_tipo_de_vivienda_particular,ocup_ocupada_con_personas_presentes,ocup_ocupada_con_personas_ausentes,ocup_ocupada_de_uso_ocasional,ocup_desocupada_otra_causa,ocup_desocupada_abandonada_o_cerrada,ocup_desocupada_en_construcci_n_o_reparaci_n,ocup_desocupada_en_alquiler_o_venta,tenencia_alquilada,tenencia_propia_sin_t_tulo_de_propiedad,tenencia_propia_con_t_tulo_de_propiedad,tenencia_cedida,tenencia_otra_forma,habitaciones_promedio,viviendas_con_dato_habitaciones,personas_hogar_promedio,hogares_con_dato,poblacion_total,pct_hombres,viviendas_con_tenencia,pct_alquiler,hacinamiento_proxy
070101000101600056,070101000101600056,0001,01600,1,"070101000101600056 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 056",056,118.0,117.0,43.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,27.0,6.0,0.0,3.0,53.0,4.0,53.0,235.0,50.2,53.0,32.1,1.33
070101000101600055,070101000101600055,0001,01600,1,"070101000101600055 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 055",055,98.0,112.0,38.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,24.0,5.0,0.0,2.0,53.0,4.0,57.0,210.0,46.7,53.0,37.7,2.0
070101000102700006,070101000102700006,0001,02700,1,"070101000102700006 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 006",006,113.0,133.0,49.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,2.0,6.0,0.0,0.0,8.0,8.0,36.0,3.0,0.0,3.0,55.0,4.0,61.0,246.0,45.9,55.0,14.5,1.33
070101000102700060,070101000102700060,0001,02700,1,"070101000102700060 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 060",060,125.0,150.0,59.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,66.0,2.0,1.0,0.0,0.0,0.0,0.0,23.0,3.0,27.0,12.0,1.0,3.0,66.0,3.0,78.0,275.0,45.5,66.0,34.8,1.0
070101000102600017,070101000102600017,0001,02600,1,"070101000102600017 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 017",017,29.0,25.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,2.0,0.0,3.0,13.0,4.0,13.0,54.0,53.7,13.0,7.7,1.33
070101000102600013,070101000102600013,0001,02600,1,"070101000102600013 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 013",013,103.0,125.0,43.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,37.0,6.0,0.0,3.0,50.0,4.0,65.0,228.0,45.2,50.0,10.0,1.33
070101000102700043,070101000102700043,0001,02700,1,"070101000102700043 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 043",043,84.0,102.0,43.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,17.0,6.0,0.0,3.0,44.0,4.0,47.0,186.0,45.2,44.0,31.8,1.33
070101000101600046,070101000101600046,0001,01600,1,"070101000101600046 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 046",046,178.0,178.0,77.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,41.0,3.0,0.0,3.0,81.0,4.0,95.0,356.0,50.0,81.0,43.2,1.33
070101000102700002,070101000102700002,0001,02700,1,"070101000102700002 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 002",002,128.0,126.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,42.0,13.0,0.0,3.0,60.0,4.0,68.0,254.0,50.4,60.0,8.3,1.33
070101000102500024,070101000102500024,0001,02500,1,"070101000102500024 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 024",024,52.0,63.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,7.0,0.0,3.0,28.0,4.0,32.0,115.0,45.2,28.0,10.7,1.33
070101000102800022,070101000102800022,0001,02800,1,"070101000102800022 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 022",022,128.0,144.0,74.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,4.0,1.0,0.0,0.0,0.0,0.0,30.0,2.0,41.0,1.0,0.0,3.0,74.0,4.0,76.0,272.0,47.1,74.0,40.5,1.33
070101000102800004,070101000102800004,0001,02800,1,"070101000102800004 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 004",004,85.0,97.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,16.0,3.0,0.0,4.0,26.0,5.0,35.0,182.0,46.7,26.0,19.2,1.25
070101000101600032,070101000101600032,0001,01600,1,"070101000101600032 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 032",032,77.0,86.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,18.0,1.0,0.0,3.0,46.0,4.0,46.0,163.0,47.2,46.0,56.5,1.33
070101000102700024,070101000102700024,0001,02700,1,"070101000102700024 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 024",024,85.0,80.0,42.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2.0,14.0,0.0,0.0,3.0,0.0,12.0,5.0,23.0,3.0,0.0,3.0,43.0,3.0,52.0,165.0,51.5,43.0,27.9,1.0
070101000102500047,070101000102500047,0001,02500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070101000102600021,070101000102600021,0001,02600,1,"070101000102600021 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 021",021,95.0,78.0,37.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,24.0,6.0,0.0,3.0,42.0,4.0,42.0,173.0,54.9,42.0,23.8,1.33
070101000102700054A,070101000102700054A,0001,02700,1,"070101000102700054A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 054A",054A,82.0,71.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,26.0,12.0,1.0,3.0,42.0,3.0,44.0,153.0,53.6,42.0,7.1,1.0
070101000102700038,070101000102700038,0001,02700,1,"070101000102700038 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 038",038,70.0,82.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,16.0,1.0,0.0,3.0,23.0,5.0,32.0,152.0,46.1,23.0,21.7,1.67
070101000102700021C,070101000102700021C,0001,02700,1,"070101000102700021C, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 021C",021C,65.0,80.0,19.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,13.0,3.0,0.0,3.0,31.0,3.0,33.0,145.0,44.8,31.0,41.9,1.0
070101000102600056,070101000102600056,0001,02600,1,"070101000102600056 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 056",056,206.0,188.0,68.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,8.0,35.0,9.0,0.0,3.0,97.0,4.0,99.0,394.0,52.3,97.0,46.4,1.33
