"area_id","manzana_label","mza","sexo_hombre","sexo_mujer","tipoviv_casa_independiente","tipoviv_departamento_en_edificio","tipoviv_vivienda_en_casa_de_vecindad_callej_n_solar_o_corral_n_","tipoviv_vivienda_improvisada","tipoviv_viviendas_colectivas","tipoviv_vivienda_en_quinta","tipoviv_local_no_destinado_para_habitaci_n_humana","tipoviv_otro_tipo_de_vivienda_particular","ocup_ocupada_con_personas_presentes","ocup_ocupada_con_personas_ausentes","ocup_ocupada_de_uso_ocasional","ocup_desocupada_otra_causa","ocup_desocupada_abandonada_o_cerrada","ocup_desocupada_en_construcci_n_o_reparaci_n","ocup_desocupada_en_alquiler_o_venta","tenencia_alquilada","tenencia_propia_sin_t_tulo_de_propiedad","tenencia_propia_con_t_tulo_de_propiedad","tenencia_cedida","tenencia_otra_forma","habitaciones_promedio","viviendas_con_dato_habitaciones","personas_hogar_promedio","hogares_con_dato","poblacion_total","pct_hombres","viviendas_con_tenencia","pct_alquiler","hacinamiento_proxy"
"07010100010040100603","070101000100401006C, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 006C","006C",17,18,10,0,0,0,0,0,0,0,7,0,0,0,2,0,1,1,4,0,2,0,3,7,4,9,35,48.6,7,14.3,1.33
"07010100010040100700","070101000100401007 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 007","007",21,13,10,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,6,0,1,0,5,7,4,8,34,61.8,7,0,0.8
"07010100010040100800","070101000100401008 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 008","008",20,34,19,0,0,0,0,0,0,0,15,1,1,0,1,1,0,1,13,0,1,0,3,15,3,17,54,37,15,6.7,1
"07010100010040100900","070101000100401009 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 009","009",48,44,27,0,0,0,0,0,0,0,20,1,0,0,6,0,0,2,18,0,0,0,4,20,4,22,92,52.2,20,10,1
"07010100010040101000","070101000100401010 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 010","010",21,11,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,1,0,0,4,6,5,7,32,65.6,6,0,1.25
"07010100010040101001","070101000100401010A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 010A","010A",18,25,11,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,9,0,1,0,3,10,4,11,43,41.9,10,0,1.33
"07010100010040101002","070101000100401010B, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 010B","010B",21,16,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,6,3,8,5,8,37,56.8,8,12.5,1.67
"07010100010040101004","070101000100401010D, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 010D","010D",16,17,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,2,7,5,7,33,48.5,7,0,2.5
"07010100010040101101","070101000100401011A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 011A","011A",49,39,26,0,0,0,0,0,0,0,18,1,0,0,7,0,0,1,17,0,0,0,3,18,4,20,88,55.7,18,5.6,1.33
"07010100010040101103","070101000100401011C, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 011C","011C",23,14,10,0,0,0,0,0,0,0,6,1,0,0,2,0,1,0,6,0,0,0,4,6,6,6,37,62.2,6,0,1.5
"07010100010040101105","070101000100401011E, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 011E","011E",14,19,12,0,0,0,0,0,0,0,8,0,0,0,3,1,0,3,4,0,1,0,2,8,4,8,33,42.4,8,37.5,2
"07010100010040101106","070101000100401011F, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 011F","011F",39,50,20,0,0,0,0,0,0,0,18,1,0,0,1,0,0,3,13,0,2,0,3,18,4,24,89,43.8,18,16.7,1.33
"07010100010040101201","070101000100401012A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 012A","012A",27,22,21,0,0,0,0,0,0,0,14,0,1,0,6,0,0,1,12,1,0,0,3,14,4,14,49,55.1,14,7.1,1.33
"07010100010040101202","070101000100401012B, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 012B","012B",72,70,26,0,0,0,0,0,0,0,24,2,0,0,0,0,0,7,13,1,3,0,4,24,5,31,142,50.7,24,29.2,1.25
"07010100010040101300","070101000100401013 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 013","013",24,22,10,0,0,0,0,0,0,0,9,0,0,0,1,0,0,1,7,1,0,0,4,9,5,10,46,52.2,9,11.1,1.25
"07010100010040101401","070101000100401014A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 014A","014A",49,56,24,2,0,0,0,0,0,0,25,1,0,0,0,0,0,0,24,0,1,0,3,25,4,26,105,46.7,25,0,1.33
